Sale_ID,Medicine_Name,Category,Region,City,Quantity_Sold,Unit_Price,Sale_Date,Sales_Rep,Discount_Percent
1,ranitidine,gastro,South,Bangalore,-5,100,5/12/2026,ROHIT VERMA,5
2,amoxicillin,Antibiotic,South,Kolkata,30,,12/5/2026,Karan Mehta ,0
3,Omeprazole,Gastro,South,Kolkata,,8,8/19/2026,Rohit Verma ,10
4,cetirizine,antihistamine,West ,Jaipur,-5,8,1/28/2026,sneha gupta,15
5,Glimepiride,Diabetes, East,Jaipur,50,10.5,5/25/2026,divya rao,5
6, Omeprazole,Gastro,south,Chennai,,75,7/15/2026,karan mehta,5
7,Diclofenac,Painkiller,NORTH,Pune,150,20,4/26/2026,Aman Kumar ,10
8,Omeprazole ,Gastro,North ,Mumbai,50,50,3/17/2026,Priya Sharma,15
9,Omeprazole ,Gastro,NORTH,Chennai,500,,3/5/2026,aman kumar,5
10,Paracetamol,Painkiller,South,Bangalore,50,10.5,5/23/2026,,0
11,Omeprazole ,GASTRO,south,,,45,4/1/2026,PRIYA SHARMA,10
12,PANTOPRAZOLE,Gastro,South,Pune,200,15,6/7/2026,Karan Mehta,
13,Loratadine,Antihistamine,EAST,Bangalore,,120,8/26/2026,divya rao,5
14,Atorvastatin, Cholesterol,west,Delhi,50,5,8/21/2026,aman kumar,0
15, Multivitamin,SUPPLEMENT,NORTH,Delhi,,20,5/21/2026,,5
16,Azithromycin, Antibiotic,West,Jaipur,50,150,1/10/2026,priya sharma,5
17, Diclofenac,Painkiller,North ,Hyderabad,10,60,7/22/2026,Divya Rao,5
18,azithromycin,Antibiotic ,SOUTH ,Hyderabad,10,15,3/20/2026,AMAN KUMAR,15
19,metformin,diabetes,south,Chennai,-15,8,1/26/2026,AMAN KUMAR,0
20,DICLOFENAC,painkiller,North,Kolkata,20,5,8/22/2026,ROHIT VERMA,0
21,LOSARTAN,Bp,south,Chennai,75,10.5,3/3/2026,sneha gupta,0
22, Glimepiride,Diabetes,South,Bangalore,50,30.5,21/02/2026,Karan Mehta ,0
23,Losartan,BP,West,Chennai,100,20,3/8/2026,sneha gupta,5
24,Azithromycin,Antibiotic,NORTH,Jaipur,200,150,2/28/2026,Sneha Gupta,10
25,Omeprazole,Gastro ,NORTH,Jaipur,20,150,8/9/2026,Priya Sharma,20
26,glimepiride,diabetes, East,Chennai,20,100,7/6/2026,Sneha Gupta,
27,IBUPROFEN,painkiller, East,,20,150,6/26/2026,Karan Mehta ,0
28,Azithromycin,Antibiotic,North ,Delhi,30,15,22/08/2026,SNEHA GUPTA,5
29,Insulin,Diabetes,north,Hyderabad,10,150,8/17/2026,Sneha Gupta,5
30,Amlodipine,Bp,west,Hyderabad,250,100,15/05/2026,rohit verma,0
31,METFORMIN, Diabetes,North,Pune,300,30.5,3/21/2026,Rohit Verma ,15
32, Omeprazole,Gastro,south,Chennai,,75,7/15/2026,karan mehta,5
33,GLIMEPIRIDE, Diabetes,east,Hyderabad,10,50,8/4/2026,rohit verma,0
34, Losartan,Gastro,west,Kolkata,30,,8/9/2026,priya sharma,
35, Atorvastatin,CHOLESTEROL,East,Jaipur,-5,25,8/8/2026,KARAN MEHTA,
36,Paracetamol,Painkiller,South,Jaipur,30,8,3/7/2026,divya rao,15
37,INSULIN,DIABETES,East,Chennai,150,8,3/15/2026,DIVYA RAO,10
38,ciprofloxacin,Antibiotic ,EAST,Bangalore,100,10.5,4/12/2026,KARAN MEHTA,20
39,PANTOPRAZOLE,Gastro,North,Pune,250,45,4/15/2026,DIVYA RAO,15
40,Insulin,Diabetes,North ,Pune,,25,1/15/2026,divya rao,5
41,Insulin,Diabetes ,EAST,Bangalore,,50,4/3/2026,PRIYA SHARMA,10
42,MULTIVITAMIN,supplement,east,Mumbai,30,100,8/18/2026,sneha gupta,5
43,Losartan ,BP ,East,Kolkata,150,100,1/17/2026,AMAN KUMAR,
44, Omeprazole,Gastro,West,,,100,7/27/2026,ROHIT VERMA,10
45,amlodipine,bp,EAST,Mumbai,30,25,6/3/2026,,
46,Multivitamin,Supplement ,West ,,-15,75,8/6/2026,Aman Kumar ,10
47,Ciprofloxacin,Antibiotic,West,Chennai,50,20,5/14/2026,karan mehta,5
48,Azithromycin,antibiotic,NORTH,Hyderabad,30,25,5/27/2026,ROHIT VERMA,20
49,Amlodipine,bp,South,Pune,250,,8/18/2026,ROHIT VERMA,5
50,RANITIDINE,Gastro ,WEST,Mumbai,150,30.5,3/13/2026,Divya Rao ,5
51,Ciprofloxacin, Antibiotic,North ,Kolkata,300,75,2/8/2026,Priya Sharma,0
52,METFORMIN,BP,EAST,Bangalore,20,8,10/2/2026,Divya Rao ,
53,Paracetamol,painkiller,South,Pune,250,60,7/27/2026,Karan Mehta ,
54,AMLODIPINE,BP,east,Chennai,150,20,8/4/2026,ROHIT VERMA,
55,ranitidine,gastro,east,Bangalore,150,25,1/27/2026,Aman Kumar ,
56,Omeprazole,Gastro,SOUTH ,Mumbai,-5,120,20/05/2026,Aman Kumar ,10
57,Loratadine,antihistamine,East,Delhi,200,100,1/7/2026,DIVYA RAO,15
58,Aspirin ,Painkiller,West,Pune,20,10.5,3/12/2026,Aman Kumar ,10
59,Cetirizine ,Antihistamine,NORTH,Hyderabad,-5,120,4/28/2026,Priya Sharma,
60,Cetirizine,Antihistamine,South,Delhi,20,120,6/24/2026,Priya Sharma ,
61,CETIRIZINE,ANTIHISTAMINE,West,Chennai,200,30.5,3/15/2026,Priya Sharma,0
62,DICLOFENAC,Painkiller,EAST,Mumbai,250,,5/5/2026,Aman Kumar ,15
63,PANTOPRAZOLE,GASTRO, East,Jaipur,300,120,1/5/2026,Priya Sharma ,5
64,PARACETAMOL,Painkiller,WEST,Bangalore,200,45,8/28/2026,Aman Kumar,5
65,Losartan,BP,South,Chennai,75,120,2/7/2026,ROHIT VERMA,0
66,Losartan,BP,East,Mumbai,50,75,2/2/2026,Priya Sharma ,
67,Vitamin C,Supplement,WEST,Bangalore,200,5,5/6/2026,AMAN KUMAR,5
68,METFORMIN,Diabetes,West ,Hyderabad,20,100,8/21/2026,AMAN KUMAR,0
69,glimepiride, Diabetes,NORTH,Chennai,300,50,8/16/2026,Priya Sharma,15
70,azithromycin,Antibiotic,South,Bangalore,300,150,8/22/2026,,
71,Loratadine,Antihistamine ,North,Hyderabad,,30.5,8/16/2026,Rohit Verma ,5
72, Atorvastatin,CHOLESTEROL,East,Jaipur,-5,25,8/8/2026,KARAN MEHTA,
73, Insulin,Diabetes ,west,Kolkata,30,10.5,1/4/2026,,0
74,AZITHROMYCIN,ANTIBIOTIC, East,Kolkata,500,20,3/8/2026,Rohit Verma,10
75,Insulin,DIABETES,west,Jaipur,10,120,5/12/2026,Rohit Verma ,
76,Amoxicillin,Antibiotic, East,Mumbai,20,10.5,25/06/2026,Priya Sharma ,
77, Insulin,Diabetes,North ,Chennai,50,25,2/11/2026,Karan Mehta ,15
78,Paracetamol ,Antibiotic,EAST,Jaipur,50,60,4/10/2026,Divya Rao ,10
79,Pantoprazole,gastro, East,Chennai,10,100,6/22/2026,Sneha Gupta ,10
80,atorvastatin,DIABETES,East,Bangalore,-5,,7/21/2026,Divya Rao ,5
81,cetirizine,antihistamine,NORTH,Chennai,50,20,7/18/2026,priya sharma,5
82,Loratadine , Antihistamine,South,Delhi,-5,120,1/24/2026,Karan Mehta ,10
83,Insulin,Gastro,WEST,Chennai,-15,30.5,5/13/2026,KARAN MEHTA,15
84,Ciprofloxacin,Antibiotic, East,Jaipur,50,10.5,2/1/2026,AMAN KUMAR,0
85, Ibuprofen,Painkiller, East,Hyderabad,500,5,4/5/2026,Divya Rao ,10
86,metformin,Diabetes,West ,Kolkata,20,75,3/20/2026,Rohit Verma,0
87,Diclofenac,Painkiller,East,Delhi,-5,,2/12/2026,PRIYA SHARMA,10
88,Azithromycin,ANTIBIOTIC,West,Mumbai,10,30.5,8/17/2026,,0
89,diclofenac, Painkiller,West ,Bangalore,-15,15,6/24/2026,SNEHA GUPTA,5
90, Insulin, Diabetes,North ,Bangalore,-15,60,5/21/2026,Rohit Verma,
91,ASPIRIN, Painkiller,West,,150,,3/22/2026,Priya Sharma ,
92, Loratadine,Antihistamine ,SOUTH ,Pune,250,,4/14/2026,Divya Rao,
93,Cetirizine , Antihistamine,WEST,Delhi,300,150,8/5/2026,SNEHA GUPTA,
94,PARACETAMOL,PAINKILLER,SOUTH ,Jaipur,20,25,8/16/2026,Karan Mehta,5
95,omeprazole,Gastro ,west,Mumbai,-15,25,1/3/2026,AMAN KUMAR,5
96,Glimepiride ,DIABETES,West ,Bangalore,200,10.5,1/26/2026,rohit verma,10
97,LOSARTAN,BP , East,,,8,3/21/2026,,
98,Ibuprofen , Painkiller,West,Mumbai,50,,7/19/2026,,5
99,Atorvastatin , Cholesterol,West,Pune,-5,,4/1/2026,divya rao,0
100,Glimepiride,Diabetes ,North,Jaipur,20,45,4/10/2026,Rohit Verma ,20
101,cetirizine,Antihistamine ,SOUTH ,Pune,300,120,16/06/2026,Sneha Gupta ,10
102,MULTIVITAMIN,Supplement ,west,Chennai,-5,,1/4/2026,Aman Kumar,
103,Aspirin,Painkiller ,north,,20,25,2/15/2026,aman kumar,15
104,VITAMIN C,supplement,south,Chennai,75,5,11/4/2026,Priya Sharma,10
105, Ciprofloxacin,antibiotic,East,Chennai,150,45,6/23/2026,DIVYA RAO,5
106,paracetamol,PAINKILLER,EAST,Bangalore,150,5,6/1/2026,Divya Rao,0
107,Diclofenac ,Painkiller,NORTH,Delhi,,,4/21/2026,Karan Mehta,15
108,IBUPROFEN,painkiller, East,Delhi,200,,8/19/2026,Karan Mehta ,
109,Losartan,Bp,south,,300,120,1/27/2026,Karan Mehta ,20
110, Cetirizine,Antihistamine , East,Hyderabad,-5,100,6/9/2026,Divya Rao,5
111,Metformin,Diabetes,West ,Jaipur,150,60,5/6/2026,Priya Sharma ,20
112,Pantoprazole,Antihistamine,WEST,Jaipur,30,,2/9/2026,sneha gupta,0
113,diclofenac,Painkiller ,South,Hyderabad,30,50,3/25/2026,Karan Mehta ,10
114,AZITHROMYCIN,Antibiotic,NORTH,Delhi,50,25,6/24/2026,Karan Mehta ,20
115,LOSARTAN,BP,WEST,Kolkata,300,8,8/18/2026,AMAN KUMAR,15
116,loratadine,antihistamine,West ,Jaipur,75,60,6/4/2026,Karan Mehta ,10
117,IBUPROFEN,PAINKILLER,north,Bangalore,200,20,4/19/2026,Aman Kumar,5
118,METFORMIN,Diabetes,west,Jaipur,75,120,5/20/2026,Priya Sharma ,
119,diclofenac,Painkiller ,South,Hyderabad,30,50,3/25/2026,Karan Mehta ,10
120,Diclofenac,PAINKILLER,West,Hyderabad,-15,60,6/14/2026,rohit verma,0
121, Amoxicillin,Antibiotic,EAST,Pune,20,8,10/6/2026,Karan Mehta,10
122,Ciprofloxacin,Antibiotic,WEST,Bangalore,-5,45,1/2/2026,karan mehta,20
123,Azithromycin,Antibiotic,South,Chennai,20,75,5/27/2026,priya sharma,5
124,DICLOFENAC,Painkiller,east,Jaipur,75,15,4/26/2026,KARAN MEHTA,5
125,ATORVASTATIN,Supplement,South,Mumbai,100,25,8/16/2026,Priya Sharma,
126,Metformin,Diabetes,North ,Chennai,200,120,8/26/2026,Priya Sharma ,0
127, Insulin, Diabetes,south,Kolkata,300,8,3/6/2026,,20
128, Pantoprazole,GASTRO,West ,Hyderabad,10,15,6/8/2026,KARAN MEHTA,10
129, Insulin,Bp,South,Pune,20,75,20/06/2026,KARAN MEHTA,20
130,Cetirizine ,antihistamine,West,Bangalore,50,75,3/21/2026,Karan Mehta,0
131,Amoxicillin, Antibiotic,South,Kolkata,500,75,5/24/2026,Karan Mehta,10
132,Ciprofloxacin,Antibiotic ,EAST,Delhi,,120,4/20/2026,ROHIT VERMA,20
133,atorvastatin,cholesterol,South,Pune,-15,50,4/5/2026,Sneha Gupta ,0
134, Losartan, BP,north,Chennai,-15,5,3/18/2026,Karan Mehta,15
135,CIPROFLOXACIN,Antibiotic, East,Mumbai,75,20,12/1/2026,aman kumar,15
136,VITAMIN C,supplement,West,Kolkata,50,30.5,8/1/2026,DIVYA RAO,5
137, Vitamin C,supplement,south,Delhi,200,8,26/04/2026,AMAN KUMAR,
138,CIPROFLOXACIN, Antibiotic,EAST,Delhi,300,100,6/27/2026,Divya Rao ,0
139,Insulin,Diabetes ,NORTH,Pune,250,,6/27/2026,Priya Sharma ,0
140,Paracetamol,PAINKILLER,NORTH,Chennai,,10.5,2/2/2026,Karan Mehta ,5
141,Atorvastatin , Cholesterol,north,Hyderabad,100,75,5/18/2026,Aman Kumar ,10
142,amlodipine,bp,South,Delhi,30,20,2/18/2026,Sneha Gupta,5
143,Ranitidine ,GASTRO,north,Mumbai,300,20,1/19/2026,Divya Rao ,10
144, Omeprazole,gastro,west,Delhi,20,75,6/14/2026,Aman Kumar ,5
145,AMOXICILLIN,Antibiotic ,west,Bangalore,250,50,1/28/2026,Priya Sharma,5
